,FROM STATION ID,FROM STATION NAME,FROM LONGITUDE,FROM LATITUDE
142,251,Clarendon Ave & Leland Ave,-87.650001,41.967968
143,492,Leavitt St & Addison St,-87.683367214,41.94702904
145,496,Avers Ave & Belmont Ave,-87.723553833,41.939448391999996
148,346,Ada St & Washington Blvd,-87.661206,41.88283
150,377,Kedzie Ave & Lake St,-87.706303744,41.884603285
151,163,Damen Ave & Clybourn Ave,-87.677856,41.931931
152,59,Wabash Ave & Roosevelt Rd,-87.625961,41.867227
154,347,Ashland Ave & Grace St,-87.6687,41.950687
155,111,Sedgwick St & Huron St,-87.638437,41.894666
158,340,Clark St & Wrightwood Ave,-87.643118,41.929546
160,143,Sedgwick St & Webster Ave,-87.638888,41.922167
161,75,Canal St & Jackson Blvd,-87.641052,41.878412
168,344,Ravenswood Ave & Lawrence Ave,-87.674237,41.96909
170,29,Noble St & Milwaukee Ave,-87.6626,41.90068
172,138,Clybourn Ave & Division St,-87.640552,41.904613
175,72,Wabash Ave & 16th St,-87.625813,41.860384
176,273,Michigan Ave & 18th St,-87.62455,41.857813
182,175,Wells St & Polk St,-87.633523,41.872372999999996
184,123,California Ave & Milwaukee Ave,-87.697153,41.922695000000004
186,48,Larrabee St & Kingsbury St,-87.642884,41.897764
188,183,Damen Ave & Augusta Blvd,-87.677234,41.899714
193,224,Halsted St & Willow St,-87.64884,41.913778
197,246,Ashland Ave & Belle Plaine Ave,-87.668869,41.956061
201,55,Halsted St & Roosevelt Rd,-87.648625,41.867323999999996
202,99,Lake Shore Dr & Ohio St,-87.614492,41.89257
211,14,Morgan St & 18th St,-87.651073,41.858086
213,511,Albany Ave & Bloomingdale Ave,-87.70512646200001,41.914026713
214,86,Eckhart Park,-87.66098386,41.89637337
217,168,Michigan Ave & 14th St,-87.623727,41.864059000000005
218,486,Oakley Ave & Irving Park Rd,-87.686079624,41.954340852
221,54,Ogden Ave & Chicago Ave,-87.654061273,41.896362458
224,284,Michigan Ave & Jackson Blvd,-87.62408,41.87785
225,327,Sheffield Ave & Webster Ave,-87.653818,41.92154
227,9,Leavitt St & Archer Ave,-87.680604459,41.82879202
232,67,Sheffield Ave & Fullerton Ave,-87.653708042,41.925601881999995
236,182,Wells St & Elm St,-87.63432399999999,41.903222
242,195,Columbus Dr & Randolph St,-87.61952099999999,41.884728
244,232,Pine Grove Ave & Waveland Ave,-87.646303,41.949275
247,255,Indiana Ave & Roosevelt Rd,-87.623041,41.867888
248,219,Damen Ave & Cortland St,-87.67741099999999,41.916027
249,464,Damen Ave & Foster Ave,-87.679459039,41.975614805
250,319,Greenview Ave & Diversey Pkwy,-87.665939,41.932595
253,165,Clark St & Grace St,-87.659172,41.95078
257,311,Leavitt St & Lawrence Ave,-87.684001,41.968885
259,53,Wells St & Huron St,-87.633775,41.894729
263,426,Ellis Ave & 60th St,-87.601072761,41.785097146
266,107,Desplaines St & Jackson Blvd,-87.643909,41.878287
268,188,Greenview Ave & Fullerton Ave,-87.6658,41.925329999999995
273,100,Orleans St & Merchandise Mart Plaza,-87.63639,41.888243
275,7,Field Blvd & South Water St,-87.61751654700001,41.886349063000004
276,230,Lincoln Ave & Roscoe St,-87.67097,41.94334
279,61,Wood St & Milwaukee Ave,-87.672552,41.907655
281,259,California Ave & Francis Pl,-87.696972,41.918121
282,264,Stetson Ave & South Water St,-87.62232,41.886835
283,45,Michigan Ave & Congress Pkwy,-87.624426,41.876243
288,292,Southport Ave & Clark St,-87.664199,41.957081
297,233,Sangamon St & Washington Blvd (*),-87.65114799999999,41.883004
298,69,Damen Ave & Pierce Ave,-87.67769192899999,41.909396006
299,47,State St & Kinzie St,-87.6277,41.889179999999996
300,226,Racine Ave & Belmont Ave,-87.658865,41.939743
301,330,Lincoln Ave & Addison St,-87.67330799999999,41.946176
303,199,Wabash Ave & Grand Ave,-87.626937,41.891738000000004
304,289,Wells St & Concord Ln,-87.634656,41.912133000000004
307,413,Woodlawn Ave & Lake Park Ave,-87.597005148,41.81409271
309,157,Lake Shore Dr & Wellington Ave,-87.636794,41.936669
312,161,Rush St & Superior St,-87.62590803299999,41.895764746
314,301,Clark St & Schiller St,-87.631501,41.907993
315,418,Ellis Ave & 53rd St,-87.600958114,41.799336263
317,342,Wolcott Ave & Polk St,-87.673688,41.871262
319,306,Sheridan Rd & Buena Ave,-87.654966,41.958494
320,211,St. Clair St & Erie St,-87.622663,41.894448
322,24,Fairbanks Ct & Grand Ave,-87.62062,41.89186
323,130,Damen Ave & Division St,-87.67695,41.90331
324,302,Sheffield Ave & Wrightwood Ave,-87.65383299999999,41.928712
326,241,Morgan St & Polk St,-87.65103,41.871736999999996
328,331,Halsted St & Blackhawk St (*),-87.648627,41.908537
333,231,Sheridan Rd & Montrose Ave,-87.65464,41.96167
336,260,Kedzie Ave & Milwaukee Ave,-87.70785699999999,41.929567
337,201,Indiana Ave & 40th St,-87.6216,41.82168
349,40,LaSalle St & Adams St,-87.63198522100001,41.879344373
350,154,Southport Ave & Belmont Ave,-87.66378,41.93949
351,276,California Ave & North Ave,-87.6972,41.91044
353,225,Halsted St & Dickens Ave,-87.64883,41.919936
354,88,May St & Randolph St,-87.655688,41.88397
359,81,Daley Center Plaza,-87.629892,41.884451
369,38,Clark St & Lake St,-87.630876058,41.886020828
373,116,Western Ave & Winnebago Ave,-87.687051,41.915533
378,93,Sheffield Ave & Willow St,-87.652855,41.913688
380,345,Lake Park Ave & 56th St,-87.58778199999999,41.793242
393,28,Larrabee St & Menomonee St,-87.64331999999999,41.91468
395,320,Loomis St & Lexington St,-87.661501,41.872187
397,44,State St & Randolph St,-87.627733569,41.884730200999996
399,94,Clark St & Armitage Ave,-87.636282,41.918306
405,5,State St & Harrison St,-87.627716,41.874053
406,41,Federal St & Polk St,-87.629543773,41.872077633
414,73,Jefferson St & Monroe St,-87.642746,41.880421999999996
418,300,Broadway & Barry Ave,-87.644095,41.937725
420,177,Theater on the Lake,-87.630834,41.926277
421,149,Calumet Ave & 33rd St,-87.61793,41.8349
445,305,Western Ave & Division St,-87.687275,41.902893
460,468,Budlong Woods Library,-87.696422561,41.983664709
461,338,Calumet Ave & 18th St,-87.619407,41.857611
468,333,Ashland Ave & Blackhawk St,-87.667252,41.907066
469,140,Dearborn Pkwy & Delaware Pl,-87.629912,41.898969
475,238,Ravenswood Ave & Montrose Ave (*),-87.67436500000001,41.961615
482,288,Larrabee St & Armitage Ave,-87.643749,41.918084
487,176,Clark St & Elm St,-87.631253,41.903233
494,223,Clifton Ave & Armitage Ave,-87.656936,41.918215999999994
496,13,Wilton Ave & Diversey Pkwy,-87.65270500000001,41.932418
498,462,Ravenswood Ave & Balmoral Ave,-87.67581472799999,41.979770216999995
503,343,Racine Ave & Wrightwood Ave,-87.658971,41.928886999999996
505,304,Broadway & Waveland Ave,-87.648674,41.949546000000005
517,479,Drake Ave & Montrose Ave,-87.71656907299999,41.961154076
